Date : 2025-08-18 20:20:44
Directory : /home/haywae/projects/wxc/wxc-client
Total : 101 files,  11067 codes, 796 comments, 1047 blanks, all 12910 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/haywae/projects/wxc/wxc-client/src/thunks/notificationThunks/notificationThunk.ts | TypeScript         |         34 |          4 |          6 |         44 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/createPostThunk.ts          | TypeScript         |         39 |          6 |          6 |         51 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/deletePostThunk.ts          | TypeScript         |         31 |          6 |          6 |         43 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/fetchPostsThunk.ts          | TypeScript         |         39 |          4 |         10 |         53 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/fetchSinglePostThunk.ts     | TypeScript         |         32 |          4 |          6 |         42 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/fetchUserPostsThunk.ts      | TypeScript         |         39 |          6 |          6 |         51 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/updatePostThunk.ts          | TypeScript         |         39 |          4 |          7 |         50 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/fetchSettingsThunk.ts    | TypeScript         |         30 |          0 |          4 |         34 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/updateSettingsThunk.ts   | TypeScript         |         38 |          0 |          5 |         43 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/fetchUserProfile.ts          | TypeScript         |         31 |          3 |          5 |         39 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/registerThunk.ts             | TypeScript         |         33 |          4 |          4 |         41 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/requestPasswordResetThunk.ts | TypeScript         |         26 |          3 |          6 |         35 |
| /home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/resetPasswordThunk.ts        | TypeScript         |         26 |          6 |          5 |         37 |
| /home/haywae/projects/wxc/wxc-client/src/utils/authUtils.ts                             | TypeScript         |         51 |         17 |         14 |         82 |
| /home/haywae/projects/wxc/wxc-client/src/utils/hooks.ts                                 | TypeScript         |          5 |          0 |          1 |          6 |
| /home/haywae/projects/wxc/wxc-client/src/vite-env.d.ts                                  | TypeScript         |          0 |          1 |          1 |          2 |
| /home/haywae/projects/wxc/wxc-client/tsconfig.app.json                                  | JSON               |         23 |          2 |          3 |         28 |
| /home/haywae/projects/wxc/wxc-client/tsconfig.json                                      | JSON with Comments |          7 |          0 |          1 |          8 |
| /home/haywae/projects/wxc/wxc-client/tsconfig.node.json                                 | JSON               |         21 |          2 |          3 |         26 |
| /home/haywae/projects/wxc/wxc-client/vite.config.ts                                     | TypeScript         |         13 |          4 |          1 |         18 |
| Total                                                                                   |                    |     11,067 |        796 |      1,047 |     12,910 |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
